Model,Accuracy,Weighted_F1
Random Forest,0.693076923076923,0.681186862777685
XGBoost,0.6661538461538462,0.6591449305844698
Decision Tree,0.5938461538461538,0.5929686718360606
Gradient Boosting,0.5838461538461538,0.570598824736156
AdaBoost,0.47615384615384615,0.457018266666506
